name,elo,source
Argentina,2173,eloratings.net
Brazil,1993,eloratings.net
Colombia,2003,eloratings.net
Ecuador,1851,eloratings.net
Paraguay,1814,eloratings.net
Uruguay,1832,eloratings.net
Mexico,1913,eloratings.net
United States,1746,eloratings.net
Canada,1729,eloratings.net
Panama,1658,eloratings.net
Haiti,1517,eloratings.net
Curacao,1438,eloratings.net
Spain,2259,eloratings.net
France,2070,eloratings.net
England,2125,eloratings.net
Portugal,1998,eloratings.net
Netherlands,1962,eloratings.net
Germany,1916,eloratings.net
Norway,1962,eloratings.net
Croatia,1881,eloratings.net
Belgium,1947,eloratings.net
Switzerland,1928,eloratings.net
Austria,1831,eloratings.net
Turkiye,1852,eloratings.net
Scotland,853,eloratings.net
Czechia,1680,eloratings.net
Sweden,1731,eloratings.net
Bosnia and Herzegovina,1605,eloratings.net
Morocco,1901,eloratings.net
Senegal,1816,eloratings.net
Algeria,1756,eloratings.net
Cote d'Ivoire,1739,eloratings.net
Egypt,1742,eloratings.net
Ghana,1560,eloratings.net
Tunisia,1549,eloratings.net
South Africa,1560,eloratings.net
DR Congo,1709,eloratings.net
Cape Verde,1619,eloratings.net
Japan,1897,eloratings.net
Iran,1748,eloratings.net
South Korea,1743,eloratings.net
Australia,1794,eloratings.net
Qatar,1441,eloratings.net
Saudi Arabia,1600,eloratings.net
Uzbekistan,1647,eloratings.net
Iraq,1556,eloratings.net
Jordan,1628,eloratings.net
New Zealand,1531,eloratings.net
