name,p_r32,p_r16,p_qf,p_sf,p_final,p_champion,expected_depth
Argentina,0.9943,0.9081,0.717,0.5646,0.378,0.2335,3.796
Brazil,0.9999,0.7308,0.4319,0.2266,0.0977,0.0398,2.527
Colombia,0.9638,0.7053,0.3892,0.2172,0.0945,0.0391,2.409
Ecuador,0.9731,0.493,0.2028,0.0718,0.0259,0.0078,1.774
Paraguay,0.5841,0.2213,0.0767,0.018,0.0037,0.0009,0.905
Uruguay,0.9429,0.4236,0.1429,0.0532,0.0179,0.0057,1.586
Mexico,0.9833,0.6,0.3287,0.124,0.0556,0.0196,2.111
United States,0.7149,0.3338,0.1366,0.0406,0.0115,0.0029,1.24
Canada,0.9575,0.4696,0.1787,0.0495,0.0124,0.0029,1.671
Panama,0.6898,0.1534,0.0418,0.0092,0.0015,0.0003,0.896
Haiti,0.3426,0.0239,0.0027,0.0002,0.0,0.0,0.369
Curacao,0.0362,0.0016,0.0001,0.0001,0.0,0.0,0.038
Spain,0.998,0.9341,0.7399,0.5708,0.3875,0.2452,3.875
France,0.9879,0.8499,0.616,0.4501,0.2637,0.1492,3.317
England,0.9947,0.8316,0.5644,0.3971,0.2179,0.1101,3.116
Portugal,0.9518,0.6463,0.3492,0.1858,0.0811,0.0306,2.245
Netherlands,0.9637,0.6122,0.3493,0.1457,0.0587,0.0236,2.153
Germany,0.9841,0.5941,0.3371,0.1361,0.0544,0.0209,2.127
Norway,0.9253,0.5321,0.2445,0.1051,0.0425,0.0149,1.864
Croatia,0.9478,0.4631,0.1711,0.0622,0.0224,0.0067,1.673
Belgium,0.9555,0.548,0.2407,0.0721,0.025,0.0072,1.848
Switzerland,0.9771,0.5587,0.2379,0.0732,0.0243,0.0067,1.878
Austria,0.8565,0.3745,0.1322,0.0467,0.0154,0.0038,1.429
Turkiye,0.784,0.3973,0.1573,0.0453,0.0147,0.0032,1.402
Scotland,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,0.6923,0.1591,0.0387,0.0078,0.0011,0.0001,0.899
Sweden,0.718,0.2045,0.0611,0.0132,0.0029,0.0006,1.0
Bosnia and Herzegovina,0.5034,0.0624,0.0094,0.0012,0.0001,0.0001,0.577
Morocco,0.996,0.4447,0.1563,0.0483,0.0141,0.0039,1.663
Senegal,0.8191,0.3308,0.1512,0.0429,0.0117,0.0034,1.359
Algeria,0.649,0.1975,0.0632,0.0136,0.003,0.0006,0.927
Cote d'Ivoire,0.8119,0.2041,0.0563,0.0129,0.0025,0.0005,1.088
Egypt,0.6617,0.1554,0.0384,0.006,0.0014,0.0003,0.863
Ghana,0.0647,0.0062,0.0003,0.0,0.0,0.0,0.071
Tunisia,0.1491,0.018,0.0029,0.0005,0.0001,0.0,0.171
South Africa,0.1179,0.0091,0.0008,0.0,0.0,0.0,0.128
DR Congo,0.2925,0.0483,0.0103,0.0019,0.0003,0.0001,0.353
Cape Verde,0.2402,0.0277,0.0033,0.0003,0.0,0.0,0.272
Japan,0.942,0.5144,0.2292,0.0883,0.0332,0.0112,1.818
Iran,0.8212,0.2928,0.0857,0.0178,0.0032,0.0006,1.221
South Korea,0.8882,0.3525,0.1209,0.0295,0.008,0.0014,1.401
Australia,0.7532,0.3568,0.1425,0.0428,0.0109,0.0026,1.309
Qatar,0.0993,0.0058,0.0005,0.0,0.0,0.0,0.106
Saudi Arabia,0.2151,0.0232,0.0034,0.0004,0.0,0.0,0.242
Uzbekistan,0.467,0.0985,0.0242,0.0053,0.0008,0.0001,0.596
Iraq,0.0974,0.0115,0.0016,0.0002,0.0,0.0,0.111
Jordan,0.25,0.0402,0.0074,0.0015,0.0003,0.0,0.299
New Zealand,0.2418,0.0301,0.0035,0.0003,0.0,0.0,0.276
