name,confederation,group,host,population,consumption,elo,interest,diaspora_m,history,novelty,wc_titles,last_major_year,best_finish
Argentina,CONMEBOL,J,0,45696159,29800,2128,0.72,1.0,0.8519,0.1481,3,2024,won
Brazil,CONMEBOL,C,0,211998573,21590,1978,0.72,1.9,0.9722,0.0278,5,2019,won
Colombia,CONMEBOL,K,0,52886363,21890,1982,0.6,3.0,0.0185,0.9815,0,2001,quarter
Ecuador,CONMEBOL,E,0,18135478,15410,1890,0.55,1.5,0.0,1.0,0,,round16
Paraguay,CONMEBOL,D,0,6929153,17930,1780,0.55,0.9,0.037,0.963,0,1979,quarter
Uruguay,CONMEBOL,H,0,3386588,34170,1870,0.7,0.6,0.5741,0.4259,2,2011,won
Mexico,CONCACAF,A,1,130861007,25460,1881,0.55,12.0,0.2222,0.7778,0,2023,quarter
United States,CONCACAF,D,1,340110988,85980,1780,0.3,3.0,0.1481,0.8519,0,2021,semi
Canada,CONCACAF,B,1,41288599,63630,1767,0.25,1.4,0.0185,0.9815,0,2000,group
Panama,CONCACAF,L,0,4515577,39260,1730,0.45,0.16,0.0,1.0,0,,group
Haiti,CONCACAF,C,0,11772557,3190,1536,0.45,1.6,0.0185,0.9815,0,1973,group
Curacao,CONCACAF,E,0,155967,33300,1427,0.5,0.15,0.0,1.0,0,,first
Spain,UEFA,H,0,48848840,57670,2129,0.62,1.4,0.2315,0.7685,1,2024,won
France,UEFA,I,0,68551653,63880,2084,0.55,2.0,0.4259,0.5741,2,2018,won
England,UEFA,L,0,57100000,61460,2055,0.65,4.0,0.1574,0.8426,1,1966,won
Portugal,UEFA,K,0,10694681,50730,1967,0.62,2.5,0.037,0.963,0,2016,semi
Netherlands,UEFA,F,0,17993485,84970,1944,0.55,1.0,0.1759,0.8241,0,1988,final
Germany,UEFA,E,0,83516593,76180,1939,0.55,4.0,0.8148,0.1852,4,2014,won
Norway,UEFA,I,0,5572279,106830,1929,0.4,0.2,0.0,1.0,0,,round16
Croatia,UEFA,L,0,3866200,49740,1881,0.62,1.0,0.0648,0.9352,0,,final
Belgium,UEFA,G,0,11858610,74770,1879,0.5,0.5,0.0185,0.9815,0,,semi
Switzerland,UEFA,B,0,9005582,91110,1865,0.45,0.7,0.0,1.0,0,,quarter
Austria,UEFA,J,0,9177982,74160,1857,0.45,0.6,0.0185,0.9815,0,,semi
Turkiye,UEFA,D,0,85518661,44600,1849,0.55,6.0,0.0185,0.9815,0,,semi
Scotland,UEFA,C,0,5490000,61460,853,0.55,0.9,0.0,1.0,0,,group
Czechia,UEFA,A,0,10905028,54800,1712,0.45,0.5,0.1296,0.8704,0,1976,final
Sweden,UEFA,F,0,10569709,75000,1755,0.4,0.4,0.0648,0.9352,0,,final
Bosnia and Herzegovina,UEFA,B,0,3164253,24990,1616,0.55,2.0,0.0,1.0,0,,group
Morocco,CAF,C,0,38081173,10260,1840,0.6,5.4,0.037,0.963,0,1976,semi
Senegal,CAF,I,0,18501984,4920,1839,0.55,1.5,0.0185,0.9815,0,2021,quarter
Algeria,CAF,J,0,46814308,17290,1759,0.55,2.0,0.037,0.963,0,2019,round16
Cote d'Ivoire,CAF,E,0,31934230,7360,1743,0.55,1.0,0.0556,0.9444,0,2023,group
Egypt,CAF,G,0,116538258,18230,1711,0.55,3.5,0.1296,0.8704,0,2010,group
Ghana,CAF,L,0,34427414,7720,1510,0.55,1.0,0.0741,0.9259,0,1982,quarter
Tunisia,CAF,F,0,12277109,14230,1585,0.5,1.3,0.0185,0.9815,0,2004,group
South Africa,CAF,A,0,64007187,15150,1511,0.45,0.9,0.0185,0.9815,0,1996,group
DR Congo,CAF,K,0,109276265,1760,1674,0.5,1.5,0.037,0.963,0,1974,group
Cape Verde,CAF,H,0,524877,11000,1606,0.6,1.0,0.0,1.0,0,,first
Japan,AFC,F,0,123975371,55490,1910,0.4,0.8,0.0741,0.9259,0,2011,round16
Iran,AFC,G,0,91567738,19820,1756,0.55,1.6,0.0556,0.9444,0,1976,group
South Korea,AFC,A,0,51751065,61930,1786,0.4,2.5,0.0556,0.9444,0,1960,semi
Australia,AFC,D,0,27196812,69600,1839,0.3,0.6,0.0185,0.9815,0,2015,round16
Qatar,AFC,B,0,2857822,121900,1447,0.35,0.05,0.037,0.963,0,2023,group
Saudi Arabia,AFC,H,0,35300280,71730,1598,0.45,0.3,0.0556,0.9444,0,1996,round16
Uzbekistan,AFC,K,0,36361859,12000,1714,0.4,2.0,0.0,1.0,0,,first
Iraq,AFC,I,0,46042015,14530,1592,0.5,2.0,0.0185,0.9815,0,2007,group
Jordan,AFC,J,0,11552876,10570,1653,0.4,0.8,0.0,1.0,0,,first
New Zealand,OFC,G,0,5287500,53600,1578,0.2,0.6,0.0926,0.9074,0,2016,group
