name,wb_iso,population,population_year,gni_pc_ppp,gni_year
Argentina,ARG,45696159,2024,29800,2024
Brazil,BRA,211998573,2024,21590,2024
Colombia,COL,52886363,2024,21890,2024
Ecuador,ECU,18135478,2024,15410,2024
Paraguay,PRY,6929153,2024,17930,2024
Uruguay,URY,3386588,2024,34170,2024
Mexico,MEX,130861007,2024,25460,2024
United States,USA,340110988,2024,85980,2024
Canada,CAN,41288599,2024,63630,2024
Panama,PAN,4515577,2024,39260,2024
Haiti,HTI,11772557,2024,3190,2024
Curacao,CUW,155967,2024,33300,2024
Spain,ESP,48848840,2024,57670,2024
France,FRA,68551653,2024,63880,2024
England,GBR,57100000,override,61460,2024
Portugal,PRT,10694681,2024,50730,2024
Netherlands,NLD,17993485,2024,84970,2024
Germany,DEU,83516593,2024,76180,2024
Norway,NOR,5572279,2024,106830,2024
Croatia,HRV,3866200,2024,49740,2024
Belgium,BEL,11858610,2024,74770,2024
Switzerland,CHE,9005582,2024,91110,2024
Austria,AUT,9177982,2024,74160,2024
Turkiye,TUR,85518661,2024,44600,2024
Scotland,GBR,5490000,override,61460,2024
Czechia,CZE,10905028,2024,54800,2024
Sweden,SWE,10569709,2024,75000,2024
Bosnia and Herzegovina,BIH,3164253,2024,24990,2024
Morocco,MAR,38081173,2024,10260,2024
Senegal,SEN,18501984,2024,4920,2024
Algeria,DZA,46814308,2024,17290,2024
Cote d'Ivoire,CIV,31934230,2024,7360,2024
Egypt,EGY,116538258,2024,18230,2024
Ghana,GHA,34427414,2024,7720,2024
Tunisia,TUN,12277109,2024,14230,2024
South Africa,ZAF,64007187,2024,15150,2024
DR Congo,COD,109276265,2024,1760,2024
Cape Verde,CPV,524877,2024,11000,2024
Japan,JPN,123975371,2024,55490,2024
Iran,IRN,91567738,2024,19820,2024
South Korea,KOR,51751065,2024,61930,2024
Australia,AUS,27196812,2024,69600,2024
Qatar,QAT,2857822,2024,121900,2024
Saudi Arabia,SAU,35300280,2024,71730,2024
Uzbekistan,UZB,36361859,2024,12000,2024
Iraq,IRQ,46042015,2024,14530,2024
Jordan,JOR,11552876,2024,10570,2024
New Zealand,NZL,5287500,2024,53600,2024
